Animal ID,ID,group,nerve_term,n_perim,poly-in,blebs,tsc_a,tsc_p,tsc_no,achr_a,achr_p,ep_a,ep_p,ep_d,synaptic,overlap,coverage_area,coverage
130,289,1mo_ko,246.392,232.023,0,0,262.957,176.431,2,253.491,193.431,354.68,80.808,31.619,219.036,86.40780146,195.277,77.03508211
130,290,1mo_ko,158,268.835,0,0,272.591,225.587,3,206.682,252.218,302.773,75.63,30.302,144.409,69.87013867,170.455,82.47210691
130,291,1mo_ko,197.409,304.713,0,0,287.137,203.089,3,220.182,255.806,325.41,89.787,35.517,173.318,78.71578966,184.955,84.00096284
130,292,1mo_ko,187,240.507,0,0,258.728,184.212,2,189.137,201.837,277.591,68.165,24.72,152.137,80.43746068,162.001,85.65272792
130,293,1mo_ko,121.65,174.793,0,0,180.66,144.257,1,146.375,152.844,271.564,76.302,29.696,95.73,65.40051238,115.078,78.61861657
130,294,1mo_ko,101.107,166.512,0,0,182.222,137.158,1,141.642,144.257,231.443,65.267,24.399,86.722,61.22618997,117.468,82.93302834
130,295,1mo_ko,153.315,276.386,0,0,291.74,189.55,3,230.8,243.137,394.915,83.955,30.178,144.399,62.56455806,199.273,86.34012132
130,296,1mo_ko,154.602,324.08,0,0,393.904,261.597,2,259.386,313.716,490.415,91.47,27.807,135.53,52.2503142,218.851,84.37271094
130,297,1mo_ko,159.763,325.338,0,0,333.018,271.03,3,297.56,303.283,495.336,97.626,30.801,155.081,52.11755612,245.304,82.4384998
132,298,1mo_ko,173.376,131.61,0,0,194.612,122.272,2,175.172,125.49,243.634,67.361,23.439,157.422,89.86710205,125.938,71.89390999
132,299,1mo_ko,147.068,154.436,0,0,207.29,131.898,2,169.678,136.936,232.964,64.157,23.95,135.975,80.13708318,133.756,78.82931199
132,300,1mo_ko,222.504,207.351,0,0,238.352,166.347,3,226.836,173.873,338.827,76.731,28.554,190.069,83.7913735,173.059,76.29256379
132,301,1mo_ko,196.725,214.121,0,0,287.269,125.234,4,222.398,177.866,297.94,77.237,29.149,177.39,79.76240794,209.931,94.39428412
132,302,1mo_ko,216.444,276.659,0,0,271.768,141.474,2,215.889,182.029,372.572,80.094,29.268,166.527,77.1354724,184.968,85.67736198
132,303,1mo_ko,168.607,249.622,0,0,263.449,171.858,2,205.074,163.922,286.882,78.988,33.31,143.094,69.77676351,172.074,83.90824775
132,304,1mo_ko,298.113,286.559,0,0,400.165,219.583,3,326.676,259.447,492.649,93.606,30.69,258.179,79.03212969,250.137,76.5703633
132,305,1mo_ko,165.557,223.812,0,0,290.487,141.075,2,221.02,170.768,320.437,71.669,26.813,144.759,65.49588273,202.024,91.40530269
132,306,1mo_ko,212.7,306.517,0,0,299.777,193.976,1,327.508,200.258,433.027,80.764,27.716,198.141,60.49959085,258.595,78.95837659
132,307,1mo_ko,236.688,268.399,0,0,365.223,214.392,3,306.987,165.863,388.24,94.463,39.646,221.713,72.22227651,231.141,75.29341633
132,308,1mo_ko,209.439,187.157,0,0,324.388,121.284,2,272.953,149.98,360.236,79.007,27.423,205.543,75.30344052,233.013,85.36744421
132,309,1mo_ko,159.758,148.303,0,0,267.303,151.299,3,191.32,128.694,259.705,73.522,28.156,153.718,80.34601714,153.913,80.44794062
132,310,1mo_ko,234.767,187.434,0,0,274.901,143.177,2,254.639,142.811,328.284,79.221,32.853,206.322,81.02529463,215.284,84.54478693
132,311,1mo_ko,333.739,325.661,0,0,421.996,195.057,3,421.606,266.289,580.78,93.176,32.225,311.139,73.79852279,336.661,79.85204195
132,312,1mo_ko,217.817,221.917,0,0,255.808,125.03,2,243.729,165.952,316.205,84.625,36.379,197.36,80.97518145,216.074,88.65338142
132,313,1mo_ko,291.087,287.981,0,0,336.601,187.657,2,324.097,177.383,414.424,88.279,28.403,263.779,81.38890517,273.282,84.32105203
132,314,1mo_ko,198.76,215.087,0,0,247.274,205.048,2,238.371,170.602,329.799,75.511,27.61,186.655,78.30440783,165.249,69.32428861
132,315,1mo_ko,218.966,298.676,0,0,341.102,192.691,3,298.99,202.039,398.019,86.265,33.653,199.26,66.64436938,241.573,80.7963477
132,316,1mo_ko,314.877,533.007,0,0,666.521,501.564,3,561.654,494.977,1053.066,132.984,43.41,286.232,50.96233624,431.598,76.84410687
132,317,1mo_ko,339.187,444.872,0,0,619.328,396.368,3,501.016,491.783,929.65,135.558,49.121,302.695,60.41623421,375.844,75.01636674
132,318,1mo_ko,144.543,268.356,0,0,327.718,189.483,3,204.083,231.665,344.949,85.134,34.193,130.824,64.10333051,181.474,88.92166422
132,319,1mo_ko,132.021,246.034,0,0,252.741,176.249,2,186.411,224.938,312.054,78.582,30.413,118.27,63.44582669,170.109,91.25480792
132,320,1mo_ko,198.006,351.204,0,0,400.323,269.189,2,364.547,323.08,573.366,99.897,31.581,183.508,50.33863946,290.908,79.7998612
132,321,1mo_ko,212.052,244.624,0,0,330.195,217.305,2,299.217,256.927,491.555,89.945,29.509,190.705,63.73468085,237.364,79.32838041
132,322,1mo_ko,382.524,403.919,0,0,601.045,242.383,3,596.357,354.535,829.293,117.888,40.184,348.008,58.35564938,474.352,79.54161685
221,323,1mo_ko,161.743,248.067,0,0,280.9002169,218.4176699,2,230.1252506,236.53569,379.1743452,85.00898015,32.32696629,150.5842506,65.43577908,199.9262506,86.87714628
221,324,1mo_ko,182.984,291.301,0,1,286.8376121,218.970521,2,307.0554667,245.8048614,482.4133644,88.06654723,30.35493901,166.0424667,54.07572399,232.6334667,75.76268522
221,325,1mo_ko,179.811,227.412,0,0,304.9057201,194.9381097,2,328.6553011,239.5477806,459.4827345,91.93812049,37.4882811,178.7873011,54.39964014,267.0803011,81.2645651
221,326,1mo_ko,111.695,208.827,0,0,265.039,164.845,1,200.01,194.406,352.313,73.618,26.287,107.814,53.90430478,172.654,86.32268387
221,327,1mo_ko,199.726,288.268,0,0,287.568,201.281,2,261.537,230.407,420.845,87.994,33.058,182.688,69.85168447,223.864,85.59553715
221,328,1mo_ko,149.653,205.843,0,0,282.835,172.291,2,233.424,159.176,347.675,79.516,28.206,138.388,59.28610597,182.12,78.0211118
221,329,1mo_ko,126.556,200.603,0,0,290.313,167.275,3,184.96,185.102,361.874,75.93,27.202,115.86,62.64057093,163.946,88.63862457
221,330,1mo_ko,132.787,229.633,0,0,248.132,177.692,2,205.536,181.955,315.775,78.542,30.754,119.174,57.98205667,179.851,87.50340573
221,331,1mo_ko,135.835,150.542,0,0,188.052,86.662,2,166.047,143.679,254.899,80.307,34.229,130.007,78.29530193,143.566,86.46106223
221,332,1mo_ko,140.236,170.608,0,0,230.277,111.231,2,201.136,131.43,283.089,73.473,29.59,134.884,67.06109299,182.818,90.8927293
221,333,1mo_ko,166.523,185.546,0,0,204.347,144.821,2,204.347,180.279,376.817,86.223,33.686,188.646,92.31650085,164.976,80.73326254
221,334,1mo_ko,204.156,199.611,0,0,485.926,207.827,2,258.148,164.334,443.07,81.241,27.542,174.123,67.45084215,246.843,95.62072919
221,335,1mo_ko,192.177,182.566,0,0,257.642,151.214,1,258.992,157.023,405.951,83.025,30.793,187.79,72.50803114,212.762,82.1500278
221,336,1mo_ko,198.42,161.629,0,0,305.391,109.764,2,233.514,153.414,369.506,77.291,27.098,187.452,80.27441609,211.749,90.6793597
